D:/Sources/Other/renderdoc-profiler-counters/example.rdc - Frame #4294967295

 EID  | Event                                                         | Action #
--------------------------------------------------------------------------------
2     | - GUI.ProcessEvents                                           |       
4     | - GUI.ProcessEvents                                           |       
6     | - GUI.ProcessEvents                                           |       
8     | - GUI.ProcessEvents                                           |       
10    | - GUI.ProcessEvents                                           |       
12    | - GUI.ProcessEvents                                           |       
14    | - GUI.ProcessEvents                                           |       
16    | - GUI.ProcessEvents                                           |       
18    | - GUI.ProcessEvents                                           |       
20    | - GUI.ProcessEvents                                           |       
22    | - GUI.ProcessEvents                                           |       
24    | - GUI.ProcessEvents                                           |       
26    | - GUI.ProcessEvents                                           |       
28    | - GUI.ProcessEvents                                           |       
30    | - GUI.ProcessEvents                                           |       
32    | - GUI.ProcessEvents                                           |       
34    | - GUI.ProcessEvents                                           |       
36    | - GUI.ProcessEvents                                           |       
38    | - GUI.ProcessEvents                                           |       
40    | - GUI.ProcessEvents                                           |       
42    | - GUI.ProcessEvents                                           |       
44    | - GUI.ProcessEvents                                           |       
46    | - GUI.ProcessEvents                                           |       
48    | - WaitForRenderJobs                                           |       
50    | - CustomRenderTextures.Update                                 |       
53    | - ReflectionProbes.Update                                     |       
55    | - WaitForRenderJobs                                           |       
68    | - ClearRenderTargetView({ 0.00, 0.00, 0.00, 0.00 })           | 1     
69    | - ClearDepthStencilView(0.01, 0)                              | 2     
90    | - UIR.DrawChain                                               | 3-3490
101   |  \- GUITexture.Draw                                           |       
113   |    \- DrawIndexed(6)                                          | 3     
121   |   - GUITexture.Draw                                           |       
128   |    \- DrawIndexed(6)                                          | 4     
138   |   - GUITexture.Draw                                           |       
150   |    \- DrawIndexed(6)                                          | 5     
156   |   - GUITexture.Draw                                           |       
163   |    \- DrawIndexed(6)                                          | 6     
179   |   - DrawIndexed(30)                                           | 7     
187   |   - GUITexture.Draw                                           |       
199   |    \- DrawIndexed(6)                                          | 8     
213   |   - DrawIndexed(36)                                           | 9     
221   |   - GUITexture.Draw                                           |       
231   |    \- DrawIndexed(6)                                          | 10    
240   |   - GUITexture.Draw                                           |       
249   |    \- DrawIndexed(6)                                          | 11    
256   |   - GUITexture.Draw                                           |       
263   |    \- DrawIndexed(6)                                          | 12    
270   |   - GUITexture.Draw                                           |       
280   |    \- DrawIndexed(6)                                          | 13    
287   |   - GUITexture.Draw                                           |       
295   |    \- DrawIndexed(6)                                          | 14    
303   |   - GUITexture.Draw                                           |       
310   |    \- DrawIndexed(6)                                          | 15    
326   |   - DrawIndexed(30)                                           | 16    
334   |   - GUITexture.Draw                                           |       
346   |    \- DrawIndexed(6)                                          | 17    
353   |   - GUITexture.Draw                                           |       
363   |    \- DrawIndexed(6)                                          | 18    
371   |   - GUITexture.Draw                                           |       
378   |    \- DrawIndexed(6)                                          | 19    
392   |   - DrawIndexed(54)                                           | 20    
400   |   - GUITexture.Draw                                           |       
412   |    \- DrawIndexed(6)                                          | 21    
419   |   - GUITexture.Draw                                           |       
429   |    \- DrawIndexed(6)                                          | 22    
437   |   - GUITexture.Draw                                           |       
444   |    \- DrawIndexed(6)                                          | 23    
458   |   - DrawIndexed(60)                                           | 24    
466   |   - GUITexture.Draw                                           |       
478   |    \- DrawIndexed(6)                                          | 25    
492   |   - DrawIndexed(36)                                           | 26    
500   |   - GUITexture.Draw                                           |       
512   |    \- DrawIndexed(6)                                          | 27    
519   |   - GUITexture.Draw                                           |       
529   |    \- DrawIndexed(6)                                          | 28    
535   |   - GUITexture.Draw                                           |       
540   |    \- DrawIndexed(6)                                          | 29    
554   |   - DrawIndexed(36)                                           | 30    
562   |   - GUITexture.Draw                                           |       
574   |    \- DrawIndexed(6)                                          | 31    
588   |   - DrawIndexed(72)                                           | 32    
596   |   - GUITexture.Draw                                           |       
608   |    \- DrawIndexed(6)                                          | 33    
615   |   - GUITexture.Draw                                           |       
625   |    \- DrawIndexed(6)                                          | 34    
633   |   - GUITexture.Draw                                           |       
640   |    \- DrawIndexed(6)                                          | 35    
649   |   - GUITexture.Draw                                           |       
659   |    \- DrawIndexed(6)                                          | 36    
666   |   - GUITexture.Draw                                           |       
676   |    \- DrawIndexed(6)                                          | 37    
684   |   - GUITexture.Draw                                           |       
691   |    \- DrawIndexed(6)                                          | 38    
700   |   - GUITexture.Draw                                           |       
710   |    \- DrawIndexed(6)                                          | 39    
717   |   - GUITexture.Draw                                           |       
727   |    \- DrawIndexed(6)                                          | 40    
735   |   - GUITexture.Draw                                           |       
742   |    \- DrawIndexed(6)                                          | 41    
751   |   - GUITexture.Draw                                           |       
761   |    \- DrawIndexed(6)                                          | 42    
768   |   - GUITexture.Draw                                           |       
778   |    \- DrawIndexed(6)                                          | 43    
786   |   - GUITexture.Draw                                           |       
793   |    \- DrawIndexed(6)                                          | 44    
802   |   - GUITexture.Draw                                           |       
812   |    \- DrawIndexed(6)                                          | 45    
819   |   - GUITexture.Draw                                           |       
829   |    \- DrawIndexed(6)                                          | 46    
843   |   - DrawIndexed(36)                                           | 47    
851   |   - GUITexture.Draw                                           |       
863   |    \- DrawIndexed(6)                                          | 48    
877   |   - DrawIndexed(42)                                           | 49    
885   |   - GUITexture.Draw                                           |       
897   |    \- DrawIndexed(6)                                          | 50    
906   |   - GUITexture.Draw                                           |       
916   |    \- DrawIndexed(6)                                          | 51    
926   |   - GUITexture.Draw                                           |       
929   |    \- DrawIndexed(54)                                         | 52    
933   |   - ClearRenderTargetView({ 0.00, 0.00, 0.00, 0.00 })         | 53    
934   |   - ClearDepthStencilView(0.00, 0)                            | 54    
939   |   - Camera.Render                                             |       
946   |   - SkyUpdate                                                 |       
949   |   - SkyUpdate                                                 |       
954   |   - HDRenderPipeline::Render Main Camera                      | 55-3489
955   |    \- DBufferPrepareDrawData                                  |       
958   |     - PrepareLightsForGPU                                     |       
959   |      \- ProcessVisibleLights                                  |       
960   |        \- ProcessDirectionalAndCookies                        |       
963   |       - PrepareGPULightdata                                   |       
965   |       - PrepareGPUProbeData                                   |       
969   |     - UpdateGlobalConstantBuffers                             |       
974   |     - ConfigureKeywords                                       |       
976   |     - RecordRenderGraph                                       |       
978   |     - CompileRenderGraph                                      |       
980   |     - ExecuteRenderGraph                                      | 55-3489
981   |      \- UpdateEnvironment                                     |       
983   |       - UpdateEnvironment                                     |       
985   |       - SetGlobalSkyData                                      |       
988   |       - SetGlobalTexture                                      |       
990   |       - SetGlobalBuffer                                       |       
992   |       - DeferredDepthPrepass                                  | 55-1682
995   |        \- ClearDepthStencilView(0.00, 0)                      | 55    
999   |         - RenderLoop.DrawSRPBatcher                           | 56-340
1015  |          \- DrawIndexedInstanced(59676, 1)                    | 56    
1034  |           - DrawIndexedInstanced(7500, 1)                     | 57    
1036  |           - DrawIndexedInstanced(7500, 1)                     | 58    
1038  |           - DrawIndexedInstanced(7500, 1)                     | 59    
1040  |           - DrawIndexedInstanced(7500, 1)                     | 60    
1042  |           - DrawIndexedInstanced(7500, 1)                     | 61    
1047  |           - DrawIndexedInstanced(5124, 1)                     | 62    
1049  |           - DrawIndexedInstanced(5124, 1)                     | 63    
1051  |           - DrawIndexedInstanced(5124, 1)                     | 64    
1057  |           - DrawIndexedInstanced(4458, 1)                     | 65    
1059  |           - DrawIndexedInstanced(4458, 1)                     | 66    
1061  |           - DrawIndexedInstanced(4458, 1)                     | 67    
1063  |           - DrawIndexedInstanced(4458, 1)                     | 68    
1065  |           - DrawIndexedInstanced(4458, 1)                     | 69    
1067  |           - DrawIndexedInstanced(4458, 1)                     | 70    
1069  |           - DrawIndexedInstanced(4458, 1)                     | 71    
1071  |           - DrawIndexedInstanced(4458, 1)                     | 72    
1073  |           - DrawIndexedInstanced(4458, 1)                     | 73    
1075  |           - DrawIndexedInstanced(4458, 1)                     | 74    
1077  |           - DrawIndexedInstanced(4458, 1)                     | 75    
1079  |           - DrawIndexedInstanced(4458, 1)                     | 76    
1081  |           - DrawIndexedInstanced(4458, 1)                     | 77    
1083  |           - DrawIndexedInstanced(4458, 1)                     | 78    
1085  |           - DrawIndexedInstanced(4458, 1)                     | 79    
1087  |           - DrawIndexedInstanced(4458, 1)                     | 80    
1089  |           - DrawIndexedInstanced(4458, 1)                     | 81    
1091  |           - DrawIndexedInstanced(4458, 1)                     | 82    
1093  |           - DrawIndexedInstanced(4458, 1)                     | 83    
1095  |           - DrawIndexedInstanced(4458, 1)                     | 84    
1112  |           - DrawIndexedInstanced(10542, 1)                    | 85    
1114  |           - DrawIndexedInstanced(10542, 1)                    | 86    
1116  |           - DrawIndexedInstanced(10542, 1)                    | 87    
1118  |           - DrawIndexedInstanced(10542, 1)                    | 88    
1120  |           - DrawIndexedInstanced(10542, 1)                    | 89    
1122  |           - DrawIndexedInstanced(10542, 1)                    | 90    
1124  |           - DrawIndexedInstanced(10542, 1)                    | 91    
1126  |           - DrawIndexedInstanced(10542, 1)                    | 92    
1128  |           - DrawIndexedInstanced(10542, 1)                    | 93    
1130  |           - DrawIndexedInstanced(10542, 1)                    | 94    
1132  |           - DrawIndexedInstanced(10542, 1)                    | 95    
1134  |           - DrawIndexedInstanced(10542, 1)                    | 96    
1153  |           - DrawIndexedInstanced(18114, 1)                    | 97    
1157  |           - DrawIndexedInstanced(5961, 1)                     | 98    
1159  |           - DrawIndexedInstanced(5961, 1)                     | 99    
1161  |           - DrawIndexedInstanced(5961, 1)                     | 100   
1163  |           - DrawIndexedInstanced(5961, 1)                     | 101   
1165  |           - DrawIndexedInstanced(5961, 1)                     | 102   
1167  |           - DrawIndexedInstanced(5961, 1)                     | 103   
1169  |           - DrawIndexedInstanced(5961, 1)                     | 104   
1171  |           - DrawIndexedInstanced(5961, 1)                     | 105   
1173  |           - DrawIndexedInstanced(5961, 1)                     | 106   
1175  |           - DrawIndexedInstanced(5961, 1)                     | 107   
1177  |           - DrawIndexedInstanced(5961, 1)                     | 108   
1179  |           - DrawIndexedInstanced(5961, 1)                     | 109   
1181  |           - DrawIndexedInstanced(5961, 1)                     | 110   
1183  |           - DrawIndexedInstanced(5961, 1)                     | 111   
1185  |           - DrawIndexedInstanced(5961, 1)                     | 112   
1187  |           - DrawIndexedInstanced(5961, 1)                     | 113   
1189  |           - DrawIndexedInstanced(5961, 1)                     | 114   
1191  |           - DrawIndexedInstanced(5961, 1)                     | 115   
1193  |           - DrawIndexedInstanced(5961, 1)                     | 116   
1195  |           - DrawIndexedInstanced(5961, 1)                     | 117   
1197  |           - DrawIndexedInstanced(5961, 1)                     | 118   
1199  |           - DrawIndexedInstanced(5961, 1)                     | 119   
1201  |           - DrawIndexedInstanced(5961, 1)                     | 120   
1203  |           - DrawIndexedInstanced(5961, 1)                     | 121   
1205  |           - DrawIndexedInstanced(5961, 1)                     | 122   
1207  |           - DrawIndexedInstanced(5961, 1)                     | 123   
1209  |           - DrawIndexedInstanced(5961, 1)                     | 124   
1211  |           - DrawIndexedInstanced(5961, 1)                     | 125   
1213  |           - DrawIndexedInstanced(5961, 1)                     | 126   
1215  |           - DrawIndexedInstanced(5961, 1)                     | 127   
1217  |           - DrawIndexedInstanced(5961, 1)                     | 128   
1219  |           - DrawIndexedInstanced(5961, 1)                     | 129   
1221  |           - DrawIndexedInstanced(5961, 1)                     | 130   
1223  |           - DrawIndexedInstanced(5961, 1)                     | 131   
1225  |           - DrawIndexedInstanced(5961, 1)                     | 132   
1227  |           - DrawIndexedInstanced(5961, 1)                     | 133   
1229  |           - DrawIndexedInstanced(5961, 1)                     | 134   
1231  |           - DrawIndexedInstanced(5961, 1)                     | 135   
1233  |           - DrawIndexedInstanced(5961, 1)                     | 136   
1235  |           - DrawIndexedInstanced(5961, 1)                     | 137   
1237  |           - DrawIndexedInstanced(5961, 1)                     | 138   
1239  |           - DrawIndexedInstanced(5961, 1)                     | 139   
