EID,GPU Duration (ms),Rasterized Primitives,Samples Passed,VS Invocations,PS Invocations,CS Invocations,dram__bytes_op_read.sum (bytes),dram__bytes_op_write.sum (bytes),gpu__time_active.sum,gpu__time_duration.sum,sm__inst_executed.sum,dram__bytes_op_read.avg (bytes),dram__bytes_op_write.avg (bytes),sm__inst_executed.avg,tpc__average_registers_per_thread_shader_3d.avg.ratio,l1tex__t_sector_hit_rate.avg.pct (%),lts__average_t_sector_hit_rate_realtime.avg.pct (%),lts__t_sector_hit_rate.avg.pct (%),smsp__warp_issue_stalled_barrier_per_warp_active.avg.pct (%),smsp__warp_issue_stalled_branch_resolving_per_warp_active.avg.pct (%),smsp__warp_issue_stalled_dispatch_stall_per_warp_active.avg.pct (%),smsp__warp_issue_stalled_drain_per_warp_active.avg.pct (%),smsp__warp_issue_stalled_lg_throttle_per_warp_active.avg.pct (%),smsp__warp_issue_stalled_long_scoreboard_per_warp_active.avg.pct (%),smsp__warp_issue_stalled_long_scoreboard_pipe_l1tex_per_warp_active.avg.pct (%),smsp__warp_issue_stalled_math_pipe_throttle_per_warp_active.avg.pct (%),smsp__warp_issue_stalled_membar_per_warp_active.avg.pct (%),smsp__warp_issue_stalled_mio_throttle_per_warp_active.avg.pct (%),smsp__warp_issue_stalled_mio_throttle_pipe_mio_per_warp_active.avg.pct (%),smsp__warp_issue_stalled_misc_per_warp_active.avg.pct (%),smsp__warp_issue_stalled_no_instruction_per_warp_active.avg.pct (%),smsp__warp_issue_stalled_not_selected_per_warp_active.avg.pct (%),smsp__warp_issue_stalled_selected_per_warp_active.avg.pct (%),smsp__warp_issue_stalled_short_scoreboard_per_warp_active.avg.pct (%),smsp__warp_issue_stalled_sleeping_per_warp_active.avg.pct (%),smsp__warp_issue_stalled_tex_throttle_per_warp_active.avg.pct (%),smsp__warp_issue_stalled_wait_per_warp_active.avg.pct (%),tpc__average_registers_per_thread_shader_3d.avg.pct (%),tpc__average_registers_per_thread_shader_cs.avg.pct (%),tpc__average_registers_per_thread_shader_ps.avg.pct (%),tpc__average_registers_per_thread_shader_vtg.avg.pct (%)
68,0.00192,0,0,0,0,0,103936.00,90880.00,7072.00,7018.51852,0.00,17322.66667,15146.66667,0.00,0.00,0.00,88.39462,90.83791,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
69,0.00573,0,0,0,0,0,82176.00,2121728.00,8928.00,8888.88889,0.00,13696.00,353621.33333,0.00,0.00,0.00,28.51313,29.14826,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
113,0.03965,2,2433426,4,2433426,0,36608.00,3634688.00,42048.00,42018.51852,3741145.00,6101.33333,605781.33333,77940.52083,58.315,99.93716,5.38699,5.32829,0.00,1.7398,0.20889,0.41367,0.00,30.57688,30.57688,0.2442,0.00,7.7037,7.7037,0.65049,1.17242,4.00886,10.59119,11.37756,0.00,8.41014,25.70955,22.7793,0.00,6.05202,2.29217
128,0.0049,2,256,4,256,0,6400.00,6900992.00,10848.00,10805.55556,643.00,1066.66667,1150165.33333,13.39583,24.28969,64.91228,99.99912,137682.96578,0.00,0.40631,0.00846,0.27934,0.00,53.22724,53.22724,0.00,0.00,0.67296,0.67296,0.16507,4.69801,0.08042,2.72146,20.74322,0.00,0.00,6.25979,9.48816,0.00,2.29734,3.84445
150,0.00566,2,2175,4,2175,0,4864.00,0.00,9376.00,9324.07407,11718.00,810.66667,0.00,244.125,33.32809,90.39409,98.2906,94.36913,0.00,0.44005,0.00416,0.10949,0.00,0.22522,0.22522,0.23493,0.00,2.14205,2.14205,0.16632,5.23836,1.98405,8.12053,77.57881,0.00,0.00,8.41921,13.01878,0.00,3.89278,3.58624
163,0.00518,2,2175,4,2175,0,6144.00,0.00,7424.00,7379.62963,16728.00,1024.00,0.00,348.50,31.84248,90.39409,93.27731,86.59942,0.00,0.92792,0.20998,0.0844,0.00,13.44271,13.44271,0.63868,0.00,1.47088,1.47088,0.12352,5.62206,2.12654,8.6091,54.47696,0.00,0.00,9.39703,12.43847,0.00,3.13411,3.67715
179,0.00627,10,319,20,319,0,27392.00,0.00,8928.00,8870.37037,1059.00,4565.33333,0.00,22.0625,16.9164,17.48072,73.35907,61.95952,0.00,0.28345,0.00186,0.08205,0.00,35.95338,35.95338,0.00,0.00,0.24056,0.24056,0.17902,2.45221,0.02984,1.97483,24.51469,0.00,0.00,3.86946,6.60797,0.00,2.26998,2.27936
199,0.00531,2,256,4,256,0,1792.00,0.00,7936.00,7888.88889,743.00,298.66667,0.00,15.47917,14.29079,74.59016,96.26866,89.10506,0.00,0.38852,0.00347,0.2012,0.00,55.4272,55.4272,0.00,0.00,0.44403,0.44403,0.1561,3.89218,0.03469,2.57744,21.61168,0.00,0.00,5.9805,5.58234,0.00,2.21787,2.82198
213,0.00474,12,369,24,369,0,15616.00,0.00,6944.00,6925.92593,1161.00,2602.66667,0.00,24.1875,24.9247,10.89109,87.96992,75.86207,0.00,0.50955,0.00,0.21838,0.00,55.13497,55.13497,0.00,0.00,1.16773,1.16773,0.31241,3.6791,0.16075,3.52138,32.39005,0.00,0.00,6.95481,9.73621,0.00,2.24934,2.27518
231,0.0047,2,256,4,256,0,1280.00,0.00,6752.00,6731.48148,743.00,213.33333,0.00,15.47917,24.48296,75.59055,96.2963,95.35073,0.00,0.39605,0.01061,0.21217,0.00,53.58393,53.58393,0.00,0.00,0.64005,0.64005,0.15913,4.49097,0.10962,2.62739,28.81997,0.00,0.00,6.10347,9.56366,0.00,2.09493,2.17956
